LMS_Login_Frequency_Per_Week,Assignment_Delay_Days,Attendance_Rate_Percentage,Study_Consistency_Index,Feedback_Sentiment_Score,CAT_Marks_Trend,Late_Night_Activity_Ratio,Burnout_Risk_Level
5.0,5,85.07,0.41,0.19,9.27,0.97,Low
3.0,1,85.52,0.47,0.15,-1.42,0.36,Low
4.0,3,85.15,0.41,0.63,0.2,0.06,Low
3.0,2,82.15,0.84,0.57,-14.02,0.9,Low
9.0,1,99.46,0.23,0.78,-12.92,0.04,Low
5.0,2,89.29,0.01,0.11,-7.27,0.95,Low
4.0,1,91.08,0.65,0.94,1.32,0.66,Low
5.0,2,94.9,0.2,0.99,7.19,0.94,Low
5.0,1,68.63,0.89,-0.77,3.15,0.2,Medium
5.0,0,63.35,0.86,0.7,-3.24,0.04,Low
6.0,2,79.32,0.08,-0.0,-11.45,0.49,Low
7.0,1,80.56,0.11,-0.22,8.42,0.45,Low
4.0,2,93.17,0.5,0.23,-4.09,0.33,Low
4.0,3,77.75,0.61,-0.89,7.08,0.96,Low
4.0,0,82.83,0.27,0.01,0.39,0.82,Low
0.0,0,81.08,0.72,0.74,7.16,0.66,Low
2.0,2,61.53,0.59,-0.57,12.22,0.16,Medium
8.0,1,84.61,0.32,-0.15,12.63,0.73,Low
8.0,2,93.12,0.03,0.88,1.05,0.73,Low
5.0,3,66.3,0.75,-0.14,0.35,0.43,Low
6.0,2,83.77,0.21,-0.28,-7.03,0.92,Low
6.0,3,83.74,0.83,-0.12,13.07,0.17,Low
11.0,3,66.57,0.42,0.04,-1.26,0.27,Low
7.0,3,64.94,0.58,0.26,-11.17,0.06,Medium
5.0,2,99.2,0.87,0.6,-2.02,0.8,Low
3.0,0,75.75,0.86,-0.1,-11.19,0.62,Low
2.0,2,69.1,0.37,0.63,0.08,0.31,Low
5.0,2,66.85,0.21,0.07,1.84,0.16,Low
3.0,2,86.7,0.78,-0.32,-4.87,0.04,Low
2.0,3,84.38,0.43,0.32,-12.85,0.17,Low
4.0,1,85.74,0.19,0.44,13.31,0.45,Low
3.0,2,63.52,0.9,0.12,8.2,0.25,Low
8.0,0,95.74,0.2,-0.89,10.17,0.26,Low
7.0,0,75.57,0.03,-0.66,-3.99,0.88,Low
5.0,2,72.53,0.02,-0.43,7.82,0.52,Low
8.0,3,78.49,0.62,-0.43,-0.44,0.73,Low
5.0,1,75.6,0.66,0.35,-8.97,0.04,Low
3.0,1,94.54,0.31,-0.96,-11.27,0.37,Medium
8.0,4,97.17,0.32,0.51,-4.65,0.48,Low
6.0,1,72.14,0.34,-0.47,-10.87,0.19,Medium
3.0,2,94.56,0.68,-0.38,14.95,0.12,Low
5.0,0,91.26,0.06,0.06,-13.52,0.87,Low
3.0,4,97.23,0.93,-0.57,-1.77,0.94,Low
2.0,3,69.83,0.22,0.77,-1.44,0.08,Low
7.0,2,83.08,1.0,-0.83,-5.98,0.35,Medium
9.0,2,70.98,0.17,-0.11,2.14,0.96,Low
2.0,3,92.96,0.77,0.7,-10.5,0.08,Low
6.0,3,60.21,0.22,0.23,8.52,0.64,Low
4.0,1,82.59,0.08,-0.42,-5.03,0.97,Medium
4.0,3,73.57,0.87,-0.16,2.74,0.98,Low
4.0,3,72.91,0.86,0.41,6.47,0.47,Low
3.0,0,85.8,0.4,0.95,11.67,0.16,Low
5.0,4,94.06,0.7,0.79,10.07,0.2,Low
3.0,4,84.37,0.56,-0.32,3.25,0.89,Low
6.0,2,94.13,0.85,1.0,-3.35,0.91,Low
5.0,2,70.58,0.32,-0.99,0.1,0.61,Low
5.0,2,80.78,0.52,-0.94,8.06,0.77,Low
3.0,0,78.02,0.49,0.65,11.33,0.74,Low
4.0,2,60.47,0.35,-0.6,-11.89,0.66,High
7.0,2,82.27,0.89,-0.88,-3.45,0.83,Low
6.0,3,86.46,0.17,-0.53,8.28,0.69,Low
3.0,0,83.68,0.15,-0.15,-2.05,0.53,Low
5.0,1,89.45,0.58,0.46,-5.03,0.24,Low
7.0,3,82.85,0.66,0.25,-2.66,0.74,Low
2.0,3,62.67,0.19,-0.52,3.09,0.47,Medium
6.0,4,64.66,0.39,0.01,14.99,0.29,Low
4.0,0,83.86,0.95,0.85,-0.21,0.8,Low
6.0,3,71.0,0.25,0.63,-8.75,0.7,Low
3.0,1,63.19,0.67,-0.35,-10.11,0.94,High
1.0,2,77.18,0.74,0.96,-13.73,0.17,Medium
2.0,5,82.17,0.45,0.42,1.76,0.65,Low
5.0,0,73.15,0.94,-0.88,1.34,0.24,Low
6.0,1,88.82,0.74,-0.93,-8.84,0.9,Medium
3.0,3,85.75,0.46,-0.66,5.86,0.1,Low
6.0,3,73.31,0.57,0.46,7.23,0.66,Low
2.0,1,90.19,0.69,-0.63,-7.23,0.79,Medium
5.0,0,85.95,0.59,0.02,-4.68,0.35,Low
3.0,3,85.5,0.88,-0.81,14.71,0.95,Low
4.0,3,82.14,0.36,0.84,-3.77,0.85,Low
5.0,0,60.46,0.3,-0.31,7.82,0.29,Medium
3.0,2,87.86,0.21,0.82,-1.42,0.01,Low
4.0,0,75.04,0.04,0.89,8.8,0.3,Low
7.0,4,97.7,0.04,-0.99,8.07,0.28,Low
4.0,0,92.72,0.87,-0.07,5.03,0.89,Low
7.0,2,83.51,0.68,-0.95,10.64,0.97,Low
3.0,1,70.09,0.66,0.82,13.18,0.07,Low
6.0,0,68.15,0.61,0.04,2.4,0.47,Low
8.0,1,73.62,0.85,-0.85,-7.88,0.55,Medium
0.0,2,79.06,0.48,-0.78,-3.04,0.09,Medium
3.0,5,71.84,0.87,-0.23,7.75,0.38,Low
6.0,1,80.6,0.36,0.88,4.53,0.32,Low
5.0,3,66.61,0.93,0.39,-9.67,0.54,Medium
6.0,1,99.11,0.7,0.74,-13.46,0.66,Low
4.0,5,64.32,0.26,-0.27,5.49,0.7,Medium
5.0,2,97.28,0.56,-0.91,-7.47,0.14,Medium
5.0,0,96.54,0.53,0.95,-0.01,0.81,Low
7.0,1,81.01,0.14,-0.97,7.4,0.68,Low
6.0,2,89.0,0.59,0.9,1.88,0.89,Low
6.0,0,77.44,0.31,-0.26,-12.5,0.45,Low
4.0,1,85.2,0.05,-0.98,-9.43,0.89,Medium
4.0,3,73.62,0.95,0.38,-8.42,0.87,Low
4.0,0,72.05,0.64,0.96,-7.26,0.44,Low
6.0,0,83.13,0.88,0.93,1.96,0.38,Low
4.0,2,79.93,0.68,-0.68,0.12,0.93,Low
6.0,2,83.18,0.36,-0.64,-8.91,0.72,Medium
9.0,2,71.47,0.51,0.13,-12.97,0.93,Low
7.0,4,74.68,0.68,0.27,-9.86,0.8,Low
4.0,3,63.36,0.96,0.48,14.53,0.61,Low
7.0,1,62.09,0.25,-0.64,-0.94,0.12,Medium
4.0,3,70.14,0.87,0.92,11.02,0.29,Low
1.0,1,62.97,0.92,0.28,10.46,0.97,Medium
3.0,3,64.15,0.67,0.69,0.35,0.32,Low
1.0,3,92.52,0.93,0.08,6.2,0.09,Low
4.0,2,61.55,0.4,-0.17,-9.22,0.71,Medium
5.0,3,86.36,0.95,0.95,5.65,0.73,Low
8.0,2,70.9,0.7,0.16,-6.83,0.29,Low
6.0,3,94.86,0.04,0.73,9.96,0.3,Low
5.0,1,79.4,0.91,0.91,-12.49,0.47,Low
7.0,3,72.22,0.48,0.35,8.19,0.02,Low
1.0,2,80.71,0.46,0.1,-12.0,0.79,Medium
5.0,4,75.28,0.57,-0.99,11.44,0.32,Low
7.0,3,82.57,0.15,-0.92,-5.87,0.85,Medium
2.0,1,64.58,0.47,-0.6,4.63,0.8,Medium
7.0,1,99.88,0.83,-0.63,-0.37,0.66,Low
6.0,2,77.02,0.02,-0.49,-4.01,0.32,Low
4.0,4,73.93,0.27,-0.39,4.36,0.52,Low
6.0,2,88.41,0.0,-0.28,13.43,0.44,Low
10.0,3,74.56,0.42,-0.16,-13.76,0.34,Low
5.0,1,93.33,0.73,-0.8,12.57,0.85,Low
5.0,2,78.17,0.8,-0.92,3.27,0.48,Low
4.0,4,88.78,0.95,0.35,9.22,0.83,Low
3.0,4,64.3,0.61,0.07,-3.48,0.11,Low
7.0,1,93.84,0.25,-0.11,-0.84,0.14,Low
3.0,3,89.43,0.92,0.27,11.07,0.98,Low
5.0,0,68.47,0.78,0.66,-2.55,0.59,Low
4.0,2,65.81,0.57,-0.14,1.04,0.51,Low
6.0,5,72.65,0.7,0.28,-14.39,0.52,Medium
6.0,1,99.04,0.92,0.91,-10.24,0.22,Low
7.0,2,70.27,0.71,0.68,4.25,0.72,Low
4.0,2,78.25,0.37,-0.15,6.51,0.08,Low
4.0,0,61.2,0.71,0.29,2.48,0.57,Low
3.0,3,75.89,0.04,-0.65,-10.7,0.57,Medium
4.0,1,82.85,0.39,0.12,-1.64,0.91,Low
6.0,4,98.12,0.41,0.96,-4.35,0.53,Low
7.0,5,80.67,0.17,0.04,-0.13,0.14,Low
3.0,3,92.76,0.02,0.86,11.11,0.57,Low
7.0,2,81.89,0.13,-0.19,8.28,0.09,Low
8.0,0,61.63,0.65,1.0,-12.48,0.2,Medium
6.0,3,72.6,0.8,0.16,11.71,0.03,Low
9.0,1,83.02,0.99,-0.92,-0.85,0.51,Low
3.0,1,98.02,0.35,0.17,7.32,0.08,Low
3.0,1,94.37,0.6,-0.45,-10.8,0.47,Medium
1.0,1,69.13,0.94,-0.94,5.12,0.93,High
8.0,2,68.8,0.17,0.64,-7.91,0.72,Medium
6.0,2,68.05,0.72,-0.45,-1.85,0.08,Medium
5.0,1,96.9,0.75,0.59,-14.49,0.22,Low
6.0,0,94.11,0.09,-0.42,-10.45,0.67,Medium
3.0,5,91.0,0.86,-0.61,-12.24,0.89,High
10.0,0,75.71,0.81,0.95,-7.81,0.03,Low
5.0,0,80.18,0.03,-0.28,-12.0,0.81,Low
5.0,1,78.57,0.09,0.2,5.76,0.56,Low
6.0,1,70.14,0.05,0.22,-14.13,0.55,Low
6.0,3,80.2,0.33,0.12,3.53,0.96,Low
5.0,1,61.22,0.51,0.83,-10.78,0.75,Medium
3.0,0,65.27,0.53,0.35,13.35,0.85,Low
6.0,1,95.46,0.27,-0.19,12.99,0.35,Low
9.0,4,90.07,0.91,0.72,-8.23,0.55,Low
8.0,2,76.91,0.37,-0.64,3.43,0.62,Low
8.0,0,80.69,0.05,0.09,-14.16,0.32,Low
4.0,3,74.8,0.3,0.9,12.95,0.57,Low
3.0,1,89.63,0.53,0.25,0.69,0.24,Low
5.0,1,91.37,0.41,0.63,-13.7,0.14,Low
5.0,0,90.53,0.27,0.31,-4.73,0.37,Low
7.0,3,88.9,0.13,0.68,-12.69,0.74,Low
2.0,1,68.18,0.82,0.89,-3.21,0.92,Low
8.0,0,73.52,1.0,-0.45,5.1,0.46,Low
5.0,2,78.79,0.33,-0.66,-0.9,0.64,Low
4.0,3,73.23,0.38,-0.03,-3.49,0.1,Low
3.0,1,90.2,0.62,0.4,-11.43,0.9,Low
2.0,5,73.17,0.72,-0.55,-7.65,0.57,High
7.0,3,65.53,0.39,-0.99,-12.0,0.78,High
5.0,3,75.96,0.9,-0.31,9.22,0.79,Low
2.0,4,99.2,0.56,0.94,-10.94,0.26,Low
2.0,1,69.04,0.45,0.39,2.86,0.53,Low
4.0,2,84.49,0.65,-0.2,-4.72,0.96,Low
8.0,2,77.32,0.95,-0.61,-8.22,0.09,Medium
4.0,2,62.84,0.79,-0.29,4.18,0.68,Low
2.0,2,79.52,0.04,-0.66,-1.29,0.96,Low
5.0,3,88.09,0.33,-0.79,-3.0,0.3,Low
4.0,3,80.53,0.47,0.81,2.79,0.86,Low
0.0,2,94.88,0.31,1.0,-0.26,0.93,Low
5.0,3,71.56,0.7,-0.67,-5.9,0.75,Medium
5.0,1,63.45,0.83,-0.89,1.77,0.23,Medium
6.0,3,97.46,0.73,-0.34,5.08,0.33,Low
9.0,5,75.13,0.99,-0.08,-14.2,0.04,Medium
7.0,0,83.06,0.27,-0.59,-1.02,0.83,Low
4.0,1,91.68,0.87,-0.4,-13.27,0.85,Medium
3.0,2,72.97,0.77,-0.6,-9.41,0.63,Medium
10.0,0,88.65,0.36,0.55,1.82,0.35,Low
5.0,2,65.42,0.73,0.43,10.99,0.08,Low
5.0,0,71.65,0.1,0.27,11.48,0.75,Low
5.0,2,65.79,0.79,-0.23,-12.9,0.73,Medium
5.0,1,92.45,0.53,0.82,-2.43,0.91,Low
5.0,3,68.91,0.29,0.94,2.49,0.73,Low
4.0,2,88.7,0.66,-0.65,-10.59,0.83,Medium
4.0,5,97.73,0.64,-0.55,7.96,0.75,Medium
5.0,3,81.11,0.21,0.05,7.33,0.63,Low
4.0,1,81.6,0.03,-0.82,12.1,0.43,Low
4.0,1,78.44,0.43,-0.13,-14.75,0.9,Low
5.0,3,73.04,0.57,0.16,-8.5,0.65,Low
4.0,0,79.03,0.88,0.04,9.82,0.4,Low
8.0,0,84.11,0.93,-0.34,5.12,0.08,Low
0.0,1,99.44,0.53,0.08,11.83,0.29,Low
7.0,1,97.51,0.75,0.92,-13.28,0.54,Low
7.0,2,94.49,0.44,-0.59,2.91,0.28,Low
1.0,4,95.57,0.75,0.31,2.07,0.22,Low
4.0,2,78.71,0.2,-0.91,-13.93,0.53,Medium
4.0,6,86.3,0.37,-0.87,0.41,0.17,Medium
2.0,1,95.8,0.63,0.1,3.29,0.8,Low
3.0,2,75.72,0.02,-0.79,-9.26,0.48,Medium
3.0,1,98.47,0.72,-0.96,-6.8,0.57,Medium
9.0,3,76.63,0.84,-0.66,4.21,0.15,Low
7.0,3,84.04,0.4,0.13,-0.95,0.32,Low
8.0,2,88.39,0.45,0.41,10.74,0.41,Low
6.0,4,98.02,0.85,-0.6,-4.73,0.81,Low
3.0,2,69.78,0.78,0.34,-7.0,0.77,Medium
4.0,3,89.85,0.29,-0.64,14.55,0.22,Low
6.0,2,80.83,0.32,0.23,12.33,0.62,Low
3.0,2,70.74,0.68,-0.18,-14.13,0.24,Low
6.0,1,91.06,0.56,0.31,8.12,0.99,Low
5.0,3,82.09,0.16,0.99,-11.69,0.95,Low
4.0,3,86.44,0.31,0.88,-14.18,0.56,Low
6.0,2,72.92,0.9,-0.99,-6.79,0.7,Medium
6.0,0,79.25,0.69,0.77,-6.92,0.8,Low
4.0,1,84.69,0.99,-0.87,9.58,0.72,Low
7.0,1,76.2,0.77,0.91,6.32,0.7,Low
3.0,5,67.93,0.94,-0.44,14.45,0.96,High
6.0,1,98.47,0.22,-0.24,6.35,0.6,Low
6.0,3,80.46,0.77,-0.82,-2.45,0.64,Low
4.0,2,89.36,0.02,-0.78,5.97,0.85,Low
6.0,3,76.44,0.67,0.45,14.98,0.67,Low
2.0,4,74.21,0.47,0.89,6.3,0.73,Low
7.0,3,76.29,0.35,0.22,7.85,0.23,Low
5.0,3,76.37,0.86,0.43,13.15,0.37,Low
4.0,2,81.77,0.85,0.52,-11.59,0.15,Low
7.0,3,81.74,0.02,-0.47,6.14,0.51,Low
4.0,2,79.89,0.61,-0.91,10.52,0.46,Low
2.0,2,65.39,0.37,-1.0,13.63,1.0,Medium
2.0,5,79.84,0.42,-0.3,-8.67,0.61,Medium
6.0,4,66.76,0.83,-0.52,0.12,0.79,Medium
2.0,1,65.05,0.31,-0.88,5.42,0.33,Medium
9.0,2,97.31,0.94,-0.64,-7.58,0.83,Medium
1.0,3,84.2,0.18,-0.75,3.01,0.62,Medium
8.0,2,86.38,0.66,0.83,-7.27,0.7,Low
5.0,2,76.07,0.67,-0.72,-5.0,0.29,Low
5.0,0,96.36,0.25,0.08,-1.75,0.55,Low
4.0,3,85.52,0.32,0.19,0.88,0.63,Low
6.0,2,90.77,0.83,0.09,-1.52,0.59,Low
5.0,3,74.74,0.76,-0.8,-0.2,0.92,Low
7.0,2,98.4,0.33,-0.36,-6.04,0.9,Medium
5.0,3,92.82,0.53,-0.9,-10.23,0.97,Medium
5.0,2,94.16,0.06,-0.21,-13.58,0.67,Low
4.0,2,66.89,0.21,-0.62,-9.12,0.97,High
5.0,2,70.84,0.49,0.12,2.46,0.83,Low
6.0,3,71.43,0.09,0.39,8.58,0.27,Low
2.0,2,70.84,0.84,0.06,-9.92,0.43,Low
2.0,1,94.22,0.72,-0.13,-11.74,0.24,Low
6.0,1,61.28,0.94,-0.23,7.48,0.0,Low
5.0,3,63.04,0.69,0.68,-5.85,0.19,Medium
5.0,0,70.96,0.94,-0.56,13.54,0.0,Low
5.0,0,67.99,0.55,0.47,6.43,0.72,Low
6.0,3,69.27,0.6,0.51,-5.2,0.43,Medium
4.0,2,91.92,0.98,-0.16,-6.31,0.31,Low
3.0,2,82.53,0.64,-0.41,0.71,0.76,Low
5.0,0,60.23,0.03,-0.06,-12.63,0.83,Medium
3.0,2,77.17,0.72,-0.81,-11.47,0.98,Medium
6.0,1,76.32,0.91,-0.91,-9.72,0.64,Medium
2.0,2,64.56,0.8,-0.78,8.24,0.46,Medium
7.0,3,87.05,0.58,-0.63,0.42,0.31,Low
6.0,1,88.08,0.67,0.01,-14.68,0.22,Low
6.0,5,88.84,0.99,0.7,5.21,0.21,Low
7.0,1,89.14,0.09,-0.53,-2.29,0.41,Low
8.0,2,60.0,0.67,0.87,0.33,0.99,Low
7.0,2,98.16,0.28,0.91,-8.58,0.0,Low
1.0,1,92.57,0.64,0.92,1.55,0.2,Low
2.0,3,96.16,0.61,0.68,14.37,0.19,Low
4.0,1,60.63,0.15,-0.27,-12.8,0.72,Medium
5.0,1,97.35,0.21,-0.85,-6.48,0.35,Medium
6.0,1,92.39,0.62,0.14,-7.71,0.46,Low
4.0,1,93.49,0.13,0.12,-7.54,0.15,Low
5.0,4,63.73,0.27,0.7,-3.64,0.4,Low
3.0,0,89.55,0.84,0.99,9.54,0.1,Low
4.0,1,98.4,0.33,0.02,12.39,0.53,Low
2.0,1,87.14,0.49,-0.31,-8.93,0.1,Medium
3.0,1,82.82,0.94,-0.63,1.29,0.79,Low
2.0,1,97.83,0.23,-0.99,4.11,0.57,Low
3.0,1,77.72,0.39,0.02,0.65,0.72,Low
7.0,0,83.97,0.61,0.11,-1.98,0.42,Low
3.0,3,79.05,0.76,0.65,-9.24,0.38,Low
10.0,0,97.31,0.9,0.01,-0.35,0.1,Low
6.0,3,63.04,0.92,0.83,-2.96,0.52,Low
5.0,1,80.04,0.78,0.26,8.87,0.51,Low
3.0,6,87.48,0.23,0.68,7.91,0.47,Low
6.0,1,91.68,0.02,-0.7,-10.98,0.74,Medium
4.0,2,83.32,0.38,0.71,-12.34,0.83,Low
5.0,1,96.36,0.14,0.35,12.24,0.75,Low
10.0,1,97.68,0.71,-0.66,1.07,0.14,Low
5.0,4,62.57,0.66,-0.62,10.73,0.62,Medium
7.0,1,76.09,0.04,0.85,-13.26,0.08,Low
4.0,2,60.94,0.84,-0.94,0.8,0.69,Medium
5.0,3,73.18,0.25,-0.07,1.18,0.38,Low
9.0,0,81.47,0.43,-0.37,10.82,0.13,Low
4.0,1,96.43,0.67,0.33,-12.07,0.86,Low
9.0,1,93.86,0.43,0.68,-7.79,0.61,Low
6.0,1,65.1,0.44,-0.28,-2.8,0.35,Low
4.0,3,63.72,0.07,-0.15,10.98,0.03,Low
6.0,1,83.57,0.4,0.96,13.17,0.54,Low
7.0,2,81.28,0.76,0.57,14.78,0.92,Low
6.0,3,70.66,0.92,0.79,13.78,0.6,Low
2.0,1,95.98,0.41,-0.12,-14.82,0.97,Low
4.0,2,97.09,0.42,-0.53,-13.57,0.14,Medium
5.0,3,76.1,0.7,-0.18,-10.57,0.57,Low
5.0,1,95.61,0.94,0.43,-4.53,0.8,Low
6.0,2,75.36,0.27,-0.78,9.9,0.53,Low
5.0,3,89.47,0.44,-0.46,11.78,0.09,Low
2.0,2,79.04,0.8,-0.91,-9.39,0.58,Medium
6.0,0,64.9,0.61,-0.14,3.59,0.61,Low
6.0,3,97.12,0.11,0.65,12.52,0.73,Low
6.0,2,78.16,0.63,-0.95,-1.09,0.76,Low
7.0,2,89.38,0.19,0.35,-11.89,0.77,Low
7.0,0,74.69,0.51,0.86,-1.27,0.66,Low
6.0,1,60.76,0.53,-0.53,-3.73,0.22,Medium
5.0,0,64.02,0.88,0.39,2.33,0.4,Low
2.0,1,79.85,0.46,0.95,-1.84,0.78,Low
6.0,1,87.6,0.28,0.92,-14.48,0.95,Low
5.0,2,73.39,0.23,-0.53,14.82,0.08,Low
6.0,3,87.82,0.87,-0.8,1.31,0.54,Low
2.0,3,87.95,0.17,-0.7,-0.79,0.31,Low
3.0,2,88.16,0.43,0.4,13.64,0.23,Low
7.0,2,79.7,0.19,0.45,-10.32,0.51,Low
5.0,4,96.6,0.77,0.35,-9.32,0.61,Low
6.0,1,79.57,0.47,-0.33,9.24,0.01,Low
5.0,3,78.01,0.35,-0.66,-7.18,0.78,Medium
5.0,3,67.98,0.36,0.16,8.98,0.82,Low
7.0,4,72.31,0.85,-0.03,-6.85,0.97,Low
4.0,2,61.69,0.55,0.46,-14.0,0.18,Medium
5.0,4,85.34,0.72,-0.12,0.51,0.59,Low
4.0,3,69.94,0.9,-0.32,-9.1,0.43,High
4.0,2,72.17,0.9,-0.41,7.74,0.33,Low
4.0,3,90.83,0.33,-0.58,4.24,0.57,Low
5.0,2,73.09,0.95,-0.47,12.71,0.78,Low
4.0,2,69.69,0.02,-0.81,8.49,0.02,Medium
8.0,4,66.76,0.38,-0.31,-9.58,0.97,High
3.0,4,90.99,0.9,-0.93,9.0,0.81,Low
5.0,1,65.19,0.27,-0.63,4.25,0.75,Medium
4.0,1,78.15,0.27,0.49,5.07,0.76,Low
8.0,0,80.28,0.3,-0.35,9.97,0.39,Low
5.0,3,87.5,0.61,0.34,2.21,0.75,Low
7.0,1,85.33,0.44,0.43,-1.02,0.39,Low
2.0,6,92.43,0.73,0.16,4.1,0.9,Low
6.0,1,61.79,0.89,0.92,-6.06,0.18,Medium
7.0,1,71.86,0.67,-0.96,-9.52,0.29,Medium
5.0,3,71.21,0.2,0.48,3.5,0.55,Low
7.0,3,65.84,0.93,0.92,-7.98,0.32,Medium
4.0,0,71.57,0.26,0.72,-12.6,0.42,Low
8.0,2,72.39,0.15,-0.66,-14.98,0.49,Medium
10.0,1,80.88,0.09,-0.35,3.25,0.86,Low
4.0,3,86.55,0.56,-0.66,-4.14,0.52,Low
4.0,1,75.24,0.11,0.2,7.57,0.36,Low
8.0,3,88.78,0.14,0.42,-3.74,0.25,Low
8.0,5,73.45,0.3,-0.37,-0.42,0.41,Medium
4.0,0,71.61,0.28,0.08,-2.79,0.52,Low
4.0,1,81.65,0.6,0.38,4.52,0.75,Low
4.0,2,60.95,0.82,-0.16,-4.32,0.12,Low
2.0,1,63.19,0.76,0.71,13.91,0.22,Low
3.0,5,76.72,0.26,0.54,13.08,0.38,Low
3.0,1,97.72,0.25,-0.87,10.44,0.36,Low
3.0,3,88.86,0.97,0.24,12.61,0.39,Low
5.0,2,63.53,0.01,-0.53,-1.53,0.79,Medium
5.0,2,93.85,0.88,0.12,1.09,0.32,Low
8.0,0,89.29,0.2,0.91,7.26,0.5,Low
3.0,2,84.44,0.95,0.76,5.88,0.62,Low
7.0,2,92.81,0.34,-0.19,11.72,0.23,Low
5.0,4,76.16,0.44,-0.42,6.49,0.72,Low
5.0,0,68.86,0.71,-0.53,14.94,0.55,Medium
6.0,3,80.48,0.59,0.07,-4.54,0.45,Low
3.0,3,81.95,0.32,-0.77,9.99,0.81,Low
6.0,3,81.53,0.55,0.1,5.93,0.24,Low
5.0,2,82.6,0.73,-1.0,5.74,0.88,Low
6.0,0,97.95,0.04,-0.35,-5.22,0.56,Medium
6.0,2,96.09,0.01,-0.56,8.57,0.61,Low
10.0,2,95.03,0.46,0.94,12.01,0.88,Low
4.0,1,92.06,0.13,0.45,-8.44,0.82,Low
4.0,0,97.74,0.66,-0.3,3.76,0.6,Low
4.0,0,63.94,0.21,-0.81,-3.24,0.75,Medium
4.0,1,70.6,0.43,0.03,14.69,0.43,Low
4.0,0,79.8,0.2,-0.57,-0.64,0.55,Low
7.0,2,93.86,0.55,0.07,-8.15,0.06,Low
8.0,1,80.21,0.12,0.67,-3.54,0.09,Low
4.0,3,89.92,0.02,0.23,4.62,0.83,Low
3.0,1,65.56,0.05,0.27,-12.72,0.06,Medium
6.0,1,70.1,0.95,0.08,3.11,0.17,Low
4.0,6,89.27,0.14,0.85,12.94,0.8,Low
6.0,3,66.59,0.71,0.86,10.51,0.0,Low
5.0,1,74.05,0.07,0.03,-12.97,0.28,Low
2.0,1,70.59,0.11,-0.39,14.8,0.58,Low
8.0,4,73.99,0.51,-0.08,5.96,0.6,Low
9.0,3,88.33,0.46,-0.63,-10.13,0.78,Medium
4.0,0,74.71,0.95,0.27,-14.63,0.51,Low
4.0,0,82.21,0.94,0.0,-9.86,0.51,Low
6.0,3,64.0,0.78,-0.79,10.15,0.73,Medium
6.0,3,92.2,0.6,-0.6,-14.35,0.5,Medium
6.0,4,74.8,0.45,-0.04,-8.01,0.61,Low
9.0,2,85.94,0.36,0.78,7.72,0.9,Low
5.0,1,89.02,0.95,0.13,2.58,0.4,Low
3.0,4,68.39,0.6,0.36,8.48,0.39,Low
2.0,2,95.39,0.58,-0.32,7.38,0.0,Low
4.0,1,84.65,0.23,0.14,-13.48,0.61,Low
5.0,2,77.15,0.05,-0.11,11.78,0.03,Low
9.0,2,67.29,0.95,0.32,-8.19,0.5,Medium
4.0,2,97.69,0.31,-0.9,1.6,0.8,Low
5.0,1,90.2,0.44,-0.01,4.33,0.55,Low
5.0,0,68.32,0.11,-0.41,-9.94,0.27,High
7.0,3,73.51,0.84,-0.35,14.29,0.79,Low
10.0,4,92.39,0.03,0.92,-0.36,0.27,Low
4.0,6,87.83,0.83,-0.63,-13.27,0.73,High
4.0,4,90.63,0.14,-0.38,13.12,0.61,Low
7.0,2,77.65,0.89,0.02,2.59,0.17,Low
6.0,1,88.66,0.73,0.73,5.98,0.91,Low
9.0,4,75.46,0.16,-0.17,0.76,0.2,Low
6.0,2,68.45,0.57,0.49,10.04,0.99,Low
4.0,3,85.31,0.31,0.71,-14.01,0.01,Low
6.0,2,99.04,0.18,-0.38,-6.95,0.26,Medium
7.0,3,72.42,0.86,-0.21,-0.91,0.2,Low
7.0,0,78.44,0.4,-0.29,-12.7,0.01,Low
6.0,2,86.96,0.4,0.67,6.18,0.73,Low
7.0,2,81.66,0.17,-0.91,-3.19,0.69,Low
7.0,2,93.74,0.38,-0.38,-6.82,0.79,Medium
8.0,3,90.47,0.87,0.36,-14.9,0.26,Low
6.0,2,62.33,0.36,0.13,6.59,0.44,Low
5.0,2,99.94,0.95,-0.13,10.01,0.66,Low
5.0,3,90.1,0.95,0.08,-3.15,0.44,Low
7.0,5,94.56,0.14,-0.6,1.93,0.7,Medium
3.0,3,86.05,0.18,-0.14,-8.17,0.63,Low
6.0,0,94.25,0.86,0.0,3.67,0.11,Low
4.0,2,64.5,0.39,0.8,-14.64,0.78,Medium
5.0,3,73.91,0.0,-0.48,-0.34,0.72,Low
8.0,2,95.06,0.27,0.74,4.33,0.66,Low
5.0,3,68.07,0.6,0.29,12.55,0.16,Low
5.0,2,63.13,0.8,-0.96,-3.56,0.27,Medium
2.0,0,91.52,0.13,0.45,7.96,0.39,Low
6.0,2,93.42,0.11,-0.93,2.93,0.28,Low
6.0,1,66.51,0.92,0.99,12.81,0.23,Low
9.0,2,94.17,0.75,0.75,-3.05,0.81,Low
4.0,2,87.47,0.59,-0.41,-5.43,0.64,Medium
5.0,4,80.8,0.77,-0.49,11.61,0.57,Low
5.0,0,93.21,0.43,-0.24,-13.52,0.23,Low
8.0,2,76.77,0.76,-0.29,-10.91,0.92,Low
5.0,0,67.76,0.37,-0.26,-12.53,0.19,Medium
6.0,0,71.39,0.24,-0.36,10.29,0.79,Low
